service_id,date,exception_type
20180527_------S_49,20180527,1
20180527_MTWTF--_10,20180528,1
20180527_MTWTF--_21,20180528,1
20180527_MTWTF--_10,20180529,1
20180527_MTWTF--_21,20180529,1
20180527_MTWTF--_10,20180530,1
20180527_MTWTF--_21,20180530,1
20180527_MTWTF--_10,20180531,1
20180527_MTWTF--_21,20180531,1
20180527_----F--_32,20180601,1
20180527_----F--_74,20180601,1
20180527_MTWTF--_10,20180601,1
20180527_MTWTF--_21,20180601,1
20180527_-----S-_25,20180602,1
20180527_-----S-_33,20180602,1
20180527_-----S-_42,20180602,1
20180527_------S_49,20180603,1
20180527_MTWTF--_10,20180604,1
20180527_MTWTF--_21,20180604,1
20180527_MTWTF--_10,20180605,1
20180527_MTWTF--_21,20180605,1
20180527_MTWTF--_10,20180606,1
20180527_MTWTF--_21,20180606,1
20180527_MTWTF--_10,20180607,1
20180527_MTWTF--_21,20180607,1
20180527_----F--_32,20180608,1
20180527_----F--_74,20180608,1
20180527_MTWTF--_10,20180608,1
20180527_MTWTF--_21,20180608,1
20180527_-----S-_25,20180609,1
20180527_-----S-_33,20180609,1
20180527_-----S-_42,20180609,1
20180527_------S_49,20180610,1
20180527_MTWTF--_10,20180611,1
20180527_MTWTF--_21,20180611,1
20180527_MTWTF--_10,20180612,1
20180527_MTWTF--_21,20180612,1
20180527_MTWTF--_10,20180613,1
20180527_MTWTF--_21,20180613,1
20180527_MTWTF--_10,20180614,1
20180527_MTWTF--_21,20180614,1
20180527_----F--_32,20180615,1
20180527_----F--_74,20180615,1
20180527_MTWTF--_10,20180615,1
20180527_MTWTF--_21,20180615,1
20180527_-----S-_25,20180616,1
20180527_-----S-_33,20180616,1
20180527_-----S-_42,20180616,1
20180527_------S_49,20180617,1
20180527_MTWTF--_10,20180618,1
20180527_MTWTF--_21,20180618,1
20180527_MTWTF--_10,20180619,1
20180527_MTWTF--_21,20180619,1
20180527_MTWTF--_10,20180620,1
20180527_MTWTF--_21,20180620,1
20180527_MTWTF--_10,20180621,1
20180527_MTWTF--_21,20180621,1
20180527_----F--_32,20180622,1
20180527_----F--_74,20180622,1
20180527_MTWTF--_10,20180622,1
20180527_MTWTF--_21,20180622,1
20180527_-----S-_25,20180623,1
20180527_-----S-_33,20180623,1
20180527_-----S-_42,20180623,1
20180527_------S_49,20180624,1
20180527_MTWTF--_10,20180625,1
20180527_MTWTF--_21,20180625,1
20180527_MTWTF--_10,20180626,1
20180527_MTWTF--_21,20180626,1
20180527_MTWTF--_10,20180627,1
20180527_MTWTF--_21,20180627,1
20180527_MTWTF--_10,20180628,1
20180527_MTWTF--_21,20180628,1
20180527_----F--_32,20180629,1
20180527_----F--_74,20180629,1
20180527_MTWTF--_10,20180629,1
20180527_MTWTF--_21,20180629,1
20180527_-----S-_25,20180630,1
20180527_-----S-_33,20180630,1
20180527_-----S-_42,20180630,1
20180527_------S_49,20180701,1
20180527_MTWTF--_10,20180702,1
20180527_MTWTF--_21,20180702,1
20180527_MTWTF--_10,20180703,1
20180527_MTWTF--_21,20180703,1
20180527_MTWTF--_10,20180704,1
20180527_MTWTF--_21,20180704,1
20180527_MTWTF--_10,20180705,1
20180527_MTWTF--_21,20180705,1
20180527_----F--_32,20180706,1
20180527_----F--_74,20180706,1
20180527_MTWTF--_10,20180706,1
20180527_MTWTF--_21,20180706,1
20180527_-----S-_25,20180707,1
20180527_-----S-_33,20180707,1
20180527_-----S-_42,20180707,1
20180527_------S_49,20180708,1
20180527_MTWTF--_10,20180709,1
20180527_MTWTF--_21,20180709,1
20180527_MTWTF--_10,20180710,1
20180527_MTWTF--_21,20180710,1
20180527_MTWTF--_10,20180711,1
20180527_MTWTF--_21,20180711,1
20180527_MTWTF--_10,20180712,1
20180527_MTWTF--_21,20180712,1
20180527_----F--_32,20180713,1
20180527_----F--_74,20180713,1
20180527_MTWTF--_10,20180713,1
20180527_MTWTF--_21,20180713,1
20180527_-----S-_25,20180714,1
20180527_-----S-_33,20180714,1
20180527_-----S-_42,20180714,1
20180527_------S_49,20180715,1
20180527_MTWTF--_10,20180716,1
20180527_MTWTF--_21,20180716,1
20180527_MTWTF--_10,20180717,1
20180527_MTWTF--_21,20180717,1
20180527_MTWTF--_10,20180718,1
20180527_MTWTF--_21,20180718,1
20180527_MTWTF--_10,20180719,1
20180527_MTWTF--_21,20180719,1
20180527_----F--_32,20180720,1
20180527_----F--_74,20180720,1
20180527_MTWTF--_10,20180720,1
20180527_MTWTF--_21,20180720,1
20180527_-----S-_25,20180721,1
20180527_-----S-_33,20180721,1
20180527_-----S-_42,20180721,1
20180527_------S_49,20180722,1
20180527_MTWTF--_10,20180723,1
20180527_MTWTF--_21,20180723,1
20180527_MTWTF--_10,20180724,1
20180527_MTWTF--_21,20180724,1
20180527_MTWTF--_10,20180725,1
20180527_MTWTF--_21,20180725,1
20180527_MTWTF--_10,20180726,1
20180527_MTWTF--_21,20180726,1
