service_id,date,exception_type
20180201_MTWTF--_5,20180201,1
20180201_MTWTF--_6,20180201,1
20180201_MTWTF--_5,20180202,1
20180201_MTWTF--_6,20180202,1
20180201_-----S-_4,20180203,1
20180201_MTWTF--_5,20180205,1
20180201_MTWTF--_6,20180205,1
20180201_MTWTF--_5,20180206,1
20180201_MTWTF--_6,20180206,1
20180201_MTWTF--_5,20180207,1
20180201_MTWTF--_6,20180207,1
20180201_MTWTF--_5,20180208,1
20180201_MTWTF--_6,20180208,1
20180201_MTWTF--_5,20180209,1
20180201_MTWTF--_6,20180209,1
20180201_-----S-_4,20180210,1
20180201_MTWTF--_5,20180212,1
20180201_MTWTF--_6,20180212,1
20180201_MTWTF--_5,20180213,1
20180201_MTWTF--_6,20180213,1
20180201_MTWTF--_5,20180214,1
20180201_MTWTF--_6,20180214,1
20180201_MTWTF--_5,20180215,1
20180201_MTWTF--_6,20180215,1
20180201_MTWTF--_5,20180216,1
20180201_MTWTF--_6,20180216,1
20180201_-----S-_4,20180217,1
20180201_MTWTF--_5,20180219,1
20180201_MTWTF--_6,20180219,1
20180201_MTWTF--_5,20180220,1
20180201_MTWTF--_6,20180220,1
20180201_MTWTF--_5,20180221,1
20180201_MTWTF--_6,20180221,1
20180201_MTWTF--_5,20180222,1
20180201_MTWTF--_6,20180222,1
20180201_MTWTF--_5,20180223,1
20180201_MTWTF--_6,20180223,1
20180201_-----S-_4,20180224,1
20180201_MTWTF--_5,20180226,1
20180201_MTWTF--_6,20180226,1
20180201_MTWTF--_5,20180227,1
20180201_MTWTF--_6,20180227,1
20180201_MTWTF--_5,20180228,1
20180201_MTWTF--_6,20180228,1
20180201_MTWTF--_5,20180301,1
20180201_MTWTF--_6,20180301,1
20180201_MTWTF--_5,20180302,1
20180201_MTWTF--_6,20180302,1
20180201_-----S-_4,20180303,1
20180201_MTWTF--_5,20180305,1
20180201_MTWTF--_6,20180305,1
20180201_MTWTF--_5,20180306,1
20180201_MTWTF--_6,20180306,1
20180201_MTWTF--_5,20180307,1
20180201_MTWTF--_6,20180307,1
20180201_MTWTF--_5,20180308,1
20180201_MTWTF--_6,20180308,1
20180201_MTWTF--_5,20180309,1
20180201_MTWTF--_6,20180309,1
20180201_-----S-_4,20180310,1
20180201_MTWTF--_5,20180312,1
20180201_MTWTF--_6,20180312,1
20180201_MTWTF--_5,20180313,1
20180201_MTWTF--_6,20180313,1
20180201_MTWTF--_5,20180314,1
20180201_MTWTF--_6,20180314,1
20180201_MTWTF--_5,20180315,1
20180201_MTWTF--_6,20180315,1
20180201_MTWTF--_5,20180316,1
20180201_MTWTF--_6,20180316,1
20180201_-----S-_4,20180317,1
20180201_MTWTF--_5,20180319,1
20180201_MTWTF--_6,20180319,1
20180201_MTWTF--_5,20180320,1
20180201_MTWTF--_6,20180320,1
20180201_MTWTF--_5,20180321,1
20180201_MTWTF--_6,20180321,1
20180201_MTWTF--_5,20180322,1
20180201_MTWTF--_6,20180322,1
20180201_MTWTF--_5,20180323,1
20180201_MTWTF--_6,20180323,1
20180201_-----S-_4,20180324,1
20180201_MTWTF--_5,20180326,1
20180201_MTWTF--_6,20180326,1
20180201_MTWTF--_5,20180327,1
20180201_MTWTF--_6,20180327,1
20180201_MTWTF--_5,20180328,1
20180201_MTWTF--_6,20180328,1
20180201_-----S-_4,20180331,1
20180201_MTWTF--_5,20180403,1
20180201_MTWTF--_6,20180403,1
20180201_MTWTF--_5,20180404,1
20180201_MTWTF--_6,20180404,1
20180201_MTWTF--_5,20180405,1
20180201_MTWTF--_6,20180405,1
20180201_MTWTF--_5,20180406,1
20180201_MTWTF--_6,20180406,1
20180201_-----S-_4,20180407,1
20180201_MTWTF--_5,20180409,1
20180201_MTWTF--_6,20180409,1
20180201_MTWTF--_5,20180410,1
20180201_MTWTF--_6,20180410,1
20180201_MTWTF--_5,20180411,1
20180201_MTWTF--_6,20180411,1
20180201_MTWTF--_5,20180412,1
20180201_MTWTF--_6,20180412,1
20180201_MTWTF--_5,20180413,1
20180201_MTWTF--_6,20180413,1
20180201_-----S-_4,20180414,1
20180201_MTWTF--_5,20180416,1
20180201_MTWTF--_6,20180416,1
20180201_MTWTF--_5,20180417,1
20180201_MTWTF--_6,20180417,1
20180201_MTWTF--_5,20180418,1
20180201_MTWTF--_6,20180418,1
20180201_MTWTF--_5,20180419,1
20180201_MTWTF--_6,20180419,1
20180201_MTWTF--_5,20180420,1
20180201_MTWTF--_6,20180420,1
20180201_-----S-_4,20180421,1
20180201_MTWTF--_5,20180423,1
20180201_MTWTF--_6,20180423,1
20180201_MTWTF--_5,20180424,1
20180201_MTWTF--_6,20180424,1
20180201_MTWTF--_5,20180425,1
20180201_MTWTF--_6,20180425,1
20180201_MTWTF--_5,20180426,1
20180201_MTWTF--_6,20180426,1
20180201_MTWTF--_5,20180427,1
20180201_MTWTF--_6,20180427,1
20180201_-----S-_4,20180428,1
20180201_MTWTF--_5,20180430,1
20180201_MTWTF--_6,20180430,1
20180201_MTWTF--_5,20180501,1
20180201_MTWTF--_6,20180501,1
