route_id,agency_id,route_short_name,route_long_name,route_type
AF.1,4,1,,3
AF.2,4,2,,3
AF.3,4,3,,3
AF.4,4,4,,3
AF.5,4,5,,3
NO.56,1,56,,3
NO.78,1,78,,3
NO.79,1,79,,3
RY.1,2,1,,3
RY.2,2,2,,3
RY.3,2,3,,3
RY.4,2,4,,3
SA.1,3,1,,3
SA.2,3,2,,3
SA.3,3,3,,3
SA.4,3,4,,3
SA.5,3,5,,3
SA.6,3,6,,3
SN.55,1,55,,3
SN.87,1,87,,3
SN.88,1,88,,3
SN.89,1,89,,3
ST.1,1,1,,3
ST.2,1,2,,3
ST.3,1,3,,3
ST.4,1,4,,3
ST.5,1,5,,3
ST.6,1,6,,3
ST.7,1,7,,3
ST.8,1,8,,3
ST.11,1,11,,3
ST.12,1,12,,3
ST.13,1,13,,3
ST.14,1,14,,3
ST.15,1,15,,3
ST.16,1,16,,3
ST.17,1,17,,3
ST.18,1,18,,3
ST.21,1,21,,3
ST.22,1,22,,3
ST.23,1,23,,3
ST.24,1,24,,3
ST.27,1,27,,3
ST.28,1,28,,3
ST.29,1,29,,3
ST.31,1,31,,3
ST.33,1,33,,3
ST.34,1,34,,3
ST.35,1,35,,3
ST.36,1,36,,3
ST.43,1,43,,3
ST.44,1,44,,3
ST.101,1,101,,3
ST.102,1,102,,3
ST.103,1,103,,3
ST.105,1,105,,3
ST.106,1,106,,3
SU.51,1,51,,3
SU.52,1,52,,3
SU.71,1,71,,3
SU.72,1,72,,3
SU.73,1,73,,3
SU.75,1,75,,3
VL.57,1,57,,3
VL.58,1,58,,3
VL.59,1,59,,3
VL.81,1,81,,3
VL.82,1,82,,3
VL.83,1,83,,3
VL.84,1,84,,3
VL.85,1,85,,3
